run_id,mode,num_players,attack_all,seed,ai_type,ai_roster,placement_roster,grid_size,batch_index,batch_games,start_time,end_time,duration_s,turns,winner,total_shots,total_hits,accuracy_percent
20260329_010501,MultiAI,6,1,,,,,,,,2026-03-29T01:05:01.236876,2026-03-29T01:05:07.317228,6.08,274,AI 6,988,201,20.34
20260329_010735,MultiAI,6,1,,,,,,,,2026-03-29T01:07:35.860165,2026-03-29T01:07:42.914086,7.054,313,AI 6,1103,213,19.31
20260329_115600,MultiAI,4,0,,,,,,,,2026-03-29T11:56:00.487084,2026-03-29T11:56:13.861417,13.374,588,AI 4,588,112,19.05
20260329_115626,MultiAI,6,0,,,,,,,,2026-03-29T11:56:26.116052,2026-03-29T11:56:56.209155,30.093,1307,AI 5,1307,244,18.67
20260329_115800,MultiAI,12,1,,,,,,,,2026-03-29T11:58:00.070814,2026-03-29T11:58:09.318616,9.248,305,AI 9,2435,493,20.25
20260329_120750,MultiAI,12,0,,,,,,,,2026-03-29T12:07:50.249058,2026-03-29T12:09:05.336427,75.087,2987,AI 2,2987,549,18.38
20260329_121024,MultiAI,12,1,,,,,,,,2026-03-29T12:10:24.398553,2026-03-29T12:10:36.697057,12.299,401,AI 1,3060,570,18.63
20260329_121134,MultiAI,12,1,,,,,,,,2026-03-29T12:11:34.748358,2026-03-29T12:11:49.812598,15.064,391,AI 11,2553,537,21.03
20260329_121335,MultiAI,12,1,,,,,,,,2026-03-29T12:13:35.020719,2026-03-29T12:13:45.978791,10.958,335,AI 9,2633,550,20.89
20260329_121940,MultiAI,4,0,,,,,,,,2026-03-29T12:19:40.119251,2026-03-29T12:19:40.132066,0.013,593,AI 1,593,118,19.9
20260329_121940,MultiAI,4,0,,,,,,,,2026-03-29T12:19:40.148991,2026-03-29T12:19:40.160542,0.012,497,AI 4,497,102,20.52
20260329_121940,MultiAI,4,0,,,,,,,,2026-03-29T12:19:40.174184,2026-03-29T12:19:40.190936,0.017,621,AI 3,621,116,18.68
20260329_121940,MultiAI,4,0,,,,,,,,2026-03-29T12:19:40.212265,2026-03-29T12:19:40.226887,0.015,609,AI 1,609,120,19.7
20260329_121940,MultiAI,4,0,,,,,,,,2026-03-29T12:19:40.241960,2026-03-29T12:19:40.257654,0.016,714,AI 4,714,136,19.05
20260329_121940,MultiAI,4,0,,,,,,,,2026-03-29T12:19:40.276132,2026-03-29T12:19:40.288827,0.013,561,AI 2,561,103,18.36
20260329_121940,MultiAI,4,0,,,,,,,,2026-03-29T12:19:40.301780,2026-03-29T12:19:40.315468,0.014,575,AI 1,575,113,19.65
20260329_121940,MultiAI,4,0,,,,,,,,2026-03-29T12:19:40.328134,2026-03-29T12:19:40.340564,0.012,592,AI 1,592,107,18.07
20260329_121940,MultiAI,4,0,,,,,,,,2026-03-29T12:19:40.353276,2026-03-29T12:19:40.364999,0.012,629,AI 1,629,111,17.65
20260329_121940,MultiAI,4,0,,,,,,,,2026-03-29T12:19:40.379847,2026-03-29T12:19:40.391536,0.012,566,AI 2,566,98,17.31
20260329_121945,MultiAI,5,0,,,,,,,,2026-03-29T12:19:45.814327,2026-03-29T12:20:01.450879,15.637,675,AI 5,675,132,19.56
20260329_124529,MultiAI,4,0,,,,,,,,2026-03-29T12:45:29.861932,2026-03-29T12:45:29.872032,0.01,591,AI 1,591,119,20.14
20260329_133704,MultiAI,4,0,,,,,,,,2026-03-29T13:37:04.399770,2026-03-29T13:37:04.410563,0.011,697,AI 1,697,126,18.08
20260329_133704,MultiAI,4,0,,,,,,,,2026-03-29T13:37:04.422173,2026-03-29T13:37:04.431830,0.01,558,AI 1,558,112,20.07
20260329_133704,MultiAI,4,0,,,,,,,,2026-03-29T13:37:04.441302,2026-03-29T13:37:04.449652,0.008,533,AI 1,533,107,20.08
20260329_133704,MultiAI,4,0,,,,,,,,2026-03-29T13:37:04.460212,2026-03-29T13:37:04.470808,0.011,645,AI 1,645,108,16.74
20260329_133704,MultiAI,4,0,,,,,,,,2026-03-29T13:37:04.482313,2026-03-29T13:37:04.492130,0.01,584,AI 1,584,112,19.18
20260329_133704,MultiAI,4,0,,,,,,,,2026-03-29T13:37:04.502641,2026-03-29T13:37:04.514909,0.012,666,AI 1,666,123,18.47
20260329_133704,MultiAI,4,0,,,,,,,,2026-03-29T13:37:04.527454,2026-03-29T13:37:04.534571,0.007,423,AI 1,423,88,20.8
20260329_133704,MultiAI,4,0,,,,,,,,2026-03-29T13:37:04.542212,2026-03-29T13:37:04.552848,0.011,607,AI 1,607,109,17.96
20260329_133704,MultiAI,4,0,,,,,,,,2026-03-29T13:37:04.563491,2026-03-29T13:37:04.570238,0.007,433,AI 1,433,90,20.79
20260329_133704,MultiAI,4,0,,,,,,,,2026-03-29T13:37:04.578730,2026-03-29T13:37:04.591511,0.013,741,AI 2,741,131,17.68
20260329_133705,MultiAI,4,0,,,,,,,,2026-03-29T13:37:05.745967,2026-03-29T13:37:05.755680,0.01,625,AI 3,625,112,17.92
20260329_133705,MultiAI,4,0,,,,,,,,2026-03-29T13:37:05.768045,2026-03-29T13:37:05.776709,0.009,544,AI 1,544,106,19.49
20260329_133705,MultiAI,4,0,,,,,,,,2026-03-29T13:37:05.786382,2026-03-29T13:37:05.794379,0.008,432,AI 3,432,97,22.45
20260329_133705,MultiAI,4,0,,,,,,,,2026-03-29T13:37:05.802950,2026-03-29T13:37:05.814287,0.011,705,AI 4,705,130,18.44
20260329_133705,MultiAI,4,0,,,,,,,,2026-03-29T13:37:05.825511,2026-03-29T13:37:05.837032,0.012,664,AI 1,664,131,19.73
20260329_133705,MultiAI,4,0,,,,,,,,2026-03-29T13:37:05.849617,2026-03-29T13:37:05.858365,0.009,564,AI 1,564,105,18.62
20260329_133705,MultiAI,4,0,,,,,,,,2026-03-29T13:37:05.868569,2026-03-29T13:37:05.879569,0.011,567,AI 1,567,109,19.22
